Company Name,Website,City,State,Country,Description,Categories,LinkedIn,Facebook,Twitter,Booth
Danieli,https://www.danieli.com/en,Buttrio,Udine,Italy,"Discover our vision on the metal industry.  Danieli designs, manufactures and installs metal producing plants and equipment worldwide, either on a turnkey basis or supplied as individual units, covering, with company-owned technology, the whole process cycle, from ore and scrap processing to finished flat, long, tube and extruded products, for ferrous and non-ferrous metals. Danieli plants are run by Danieli Automation process control, power and instrumentation systems, and include DIGI&MET smart manufacturing solutions (Industry 4.0). Sustainable production is guaranteed by energy-saving processes and Danieli Environment ecological solutions. 10,000 people operate in the Group companies located in Italy, Germany, Sweden, Austria, France, The Netherlands, Spain, UK, USA, Brazil, Russia, Thailand, Vietnam, China, India and Japan. Brands: MIDA, QSP DUE, QLP DUE, Digimelter, Q-One, Q -Space, ENERGIRON, Q-Jenius, DanFIlters, Q’Roll Endless casting and rolling operations right from the first heat On December 18th, thanks to the joint efforts of Danieli and Nucor teams, Nucor Steel Florida safely started on schedule, melting, casting and rolling in endless mode from the first heat. Located in Frostproof, Florida, USA, the new MIDA minimill has a rated capacity of 380,000 shtpy and will produce rebar ranging from #3 to #11 (9.5 to 35.8 mm) in straight bars up to 60 ft, and spooled coils up to 5 tons. Featuring the latest energy-saving and environmentally friendly melting, the MIDA casting and rolling technologies significantly reduce the overall CO2 emissions thanks to the absence of the reheating furnace. With the Florida minimill, Nucor will satisfy the regional demand of steel rebar, recycling the scrap available in the area and reconfirming the Endless Casting and Rolling solution as a proven solution for a sustainable steel production. Nucor Steel Florida (NSFL) is the fourteenth Danieli MIDA minimill featuring Endless Casting-Rolling ECR technology for long products in operation worldwide - second for the Nucor group - and fourth in the USA. In January 2020, the first MIDA minimill for Nucor, Sedalia, Missouri also started up quickly, having the endless casting and rolling operations in place on third day and a “more than 1 km” long billet produced on the fifth day. The consistent start-up of this plant validates once more the full reliability of the MIDA endless casting and rolling process, which gives steelmakers the possibility to achieve a total transformation costs from 5 to 10 % lower than a traditional minimill. The Nucor Florida minimill composition: The MIDA endless casting-rolling process route includes the Danieli ECS® scrap preheating and continuous charging system, able to feed hot scrap continuously into a 40-t, side-charging, Fastarc AC EAF; and then a ladle furnace ensures the proper refining of the steel. A single-strand, high-speed continuous casting machine is the core of the endless casting-rolling section. It is equipped with the Danieli Fast Cast Cube (FCC) and a 130 x 130 mm square section Power-mould copper tube directly connected, through a 4 MW induction furnace, to an 8 + 8 stands ultra-compact rolling mill. The finishing facilities consist of an apron roller line, for the larger sizes, the Danieli-patented Direct Rolling and Bundling system (DRB) for the smaller range and a spooler line based on the “K-Spool” technologies, able to produce coils from rebar #3 to #8 in coils up to 5 tons. The latest Danieli technologies for an environmentally friendly and energy saving plant are also applied to the auxiliary units, which include the Fumes Treatment Plant, based on a Pulse-jet bag filter, the Water Treatment Plant, and the Danieli heavy duty technological and maintenance cranes serving the whole plant, from the scrap yard to finished products handling. Commercial Metals Company announced that CMC Steel Arizona in Mesa, AZ has begun receiving renewable energy from Salt River Project’s (SRP) new “Saint Solar” electricity generation plant. Irving, TX – Commercial Metals Company (CMC) announced that their micro mill in Mesa, Arizona, CMC Steel Arizona, has begun receiving renewable energy from Salt River Project’s (SRP) new “Saint Solar” electricity generation plant. CMC Steel Arizona was one of the original customers to join the first phase of SRP’s Sustainable Energy program that was announced in 2018. The Saint Solar plant, located in Coolidge, Arizona, is a 100-megawatt utility-based solar array that will provide renewable energy to CMC Steel Arizona and others in the SRP community. Constructed in 2009, CMC Steel Arizona is one of the most efficient and green steel producing facilities in the world. As a micro mill utilizing scrap-based Electric Arc Furnace (EAF) technology we are helping to preserve our natural resources. By using recycled scrap for 98% of our raw material, we reduce the need for natural resources. Our CO2 Scope 1 green-house gas emissions and energy consumption intensities are approximately 8 times less than the global steel making average. Tracy Porter, Executive Vice President and Chief Operating Officer, stated, “Our participation in the Saint Solar project underscores our commitment to reducing our carbon footprint further through the use of renewable energy as well as producing steel from 100% recycled scrap metal and being an industry leader in the sustainable steelmaking process.” On August 13, 2020, CMC announced plans to build its third micro mill, AZ2, adjacent to CMC Steel Arizona. The mill will be the first in the world to produce merchant bar quality (MBQ) products through a continuous-continuous production process. AZ2 will feature Danieli’s “Q-One” technology which will allow CMC to have a direct connection between the EAF and Ladle Furnace to renewable energy sources. This technology reduces electricity transmission losses as compared to traditional methods and associated operating costs. “SRP is excited to partner with CMC Steel Arizona on our shared renewable energy goals,” said Jim Pratt, Associate General Manager and Chief Customer Executive at SRP. “This is just the beginning of our sustainable energy partnership and we look forward to continuing to partner with them on AZ2 and beyond."" About Commercial Metals Company Commercial Metals Company and its subsidiaries manufacture, recycle and fabricate steel and metal products, related materials and services through a network of facilities that includes seven electric arc furnace (""EAF"") mini mills, two EAF micro mills, two rerolling mills, steel fabrication and processing plants, construction-related product warehouses, and metal recycling facilities in the U.S. and Poland. Featuring Danieli Zero-Scale Separator and patented high-speed DanFilters Commissioning is complete for the water treatment plant engineered, manufactured and installed at Nucor Steel, Sedalia minimill, Missouri, USA. The WTP was developed to serve the greenfield steel melt shop and rolling mill, in compliance with all applicable local standards (ASME, UL, NEMA, OSHA), fulfilling all contracted requirements, notably the environmental conditions. The original WTP design includes a Zero-Scale Separator, so as to avoid digging a scale pit and thus reducing excavation cost, simplify the civil works requirement. Danieli patented DanFilters perform with high filtration speed, achieving high efficiency in less overall space. A fiberglass tank was selected to allow a closed-circuit operation, rather than a concrete basin, further minimizing civil construction. The pumping station is comprised of vertical pumps to reduce the amount of piping needed, as well as civil work requirements. To expedite construction and installation, the WTP components were assembled on skids at the Danieli workshop, with pre-assembled and installed valves and instrumentation. Package-type cooling towers were selected, also for simple and fast installation. Danieli Automation Q-Space1 supporting digital assistance In the weeks starting from June 17, Factory Acceptance Tests for the hot-strip mill automation of Nucor Steel Gallatin QSP plant were executed at Danieli Automation, Italy. Q-Space1 allowed Nucor Steel Gallatin to participate in the tests despite travel restrictions linked to the current pandemic. Making the most of augmented, mixed and virtual reality, the FAT were conducted, supporting technicians throughout the field execution process, enhancing their skills for faster and more efficient completion of service and repair tasks. Danieli Automation Q-Space1 augmented reality, knowledge management features and artificial intelligence enabled the extended collaboration of teams by bringing together workers through a combination of live video, audio and annotations of the live shared view. The complete automation system of the hot-strip mill was installed in a dedicated space at Danieli Automation headquarters, along with the hardware and software infrastructure required for real-time data exchange and live shared views. Q-Space1 was set up with a fixed camera providing a panoramic view of the FAT area and a helmet-mounted camera to view the details of the main control desks and local control stations. Danieli Automation and Nucor teams ran the full set of tests as if they were in the same room, with the Nucor team actually operating the system from remote and the Danieli Automation team acting as lookouts and providing the “physical” interfacing with the automation hardware. Both teams were able to share the same application software tools in real time, providing clarification on the structure of various control functions. All the tests were completed successfully to the great satisfaction of both Nucor and Danieli Automation teams. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Cold Sheet Rolling, Computer Applications, Continuous Casting, Cranes, DRI, Electric Steelmaking, Electrical Applications, Environmental, Galvanizing, Hot Sheet Rolling, Ironmaking, Long Products, Lubrication & Hydraulics, Maintenance & Reliability, Material Handling, Metallurgy - Processing, Product & Applications, Metallurgy - Steelmaking & Casting, Oxygen Steelmaking, Pipe & Tube, Plate Rolling, Project & Construction Management, Rolls, Safety & Health, Transportation & Logistics, Tube Mills",https://www.linkedin.com/company/danieli,,,2225
Dellner Bubenzer USA,http://www.pintschbubenzerusa.com,FLEMINGTON,NJ,United States,"Pintsch Bubenzer is a global supplier and manufacturer of industrial braking systems and brake components for Material Handling applications within the Container Handling, Mining, Steel, Ship Board Equipment and Wind Power Industries. Pintsch Bubenzer’s products include but are not limited to Disc, Drum, Band and Storm brakes as well as monitoring systems for braking applications. With nearly 80 years of experience and production in 4 global facilities, Pintsch Bubenzer has developed an unmatched expertise in the design, testing and implementation of braking system worldwide. Brands: Dellner Bubenzer If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Cold Sheet Rolling, Computer Applications, Cranes, Electric Steelmaking, Electrical Applications, Energy & Utilities, Galvanizing, Hot Sheet Rolling, Ironmaking, Long Products, Lubrication & Hydraulics, Maintenance & Reliability, Material Handling, Oxygen Steelmaking, Pipe & Tube, Plate Rolling, Project & Construction Management, Safety & Health, Specialy Alloy & Foundry, Transportation & Logistics",https://www.linkedin.com/company/danieli,,,2303
"Delta Railroad Construction, Inc.",http://www.deltarr.com,ASHTABULA,OH,United States," CRANE RAIL FLASH BUTT WELDING Delta has been continuously engaged in flash butt crane rail welding over the last decade, in a variety of mill and mine applications, throughout the US and Canada. Our division currently operates 3 Crane rail welding heads and we are capable of welding up to 150 aerial feet from the self contained power unit. Delta is capable of welding AS86 and AS87 Euro crane rail and 65 to 175 standard crane rail. Please stop by for more information and contact Gene Adams 440/536-0412 or Paul Laurello at 440/536-0359. www.deltarr.com If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Maintenance & Reliability, Project & Construction Management",https://www.linkedin.com/company/danieli,,,1753
Deshazo,http://www.deshazo.com,ALABASTER,AL,United States," DESHAZO is a leading original equipment manufacturer of overhead cranes and automation systems in the United States.  With over 20,000 overhead cranes in operation world wide, DESHAZO provides ""Elevated Thinking"" for the material handling industry.  We design, manufacture, and install single girder, double girder, fully gantry, and semi-gantry cranes from light industrial to CMAA class ""F"" mill duty service.  Each of our cranes are custom designed and manufactured from the gears up. DESHAZO's Service group, comprised of highly skilled and factory-trained technicians, provide 24/7/365 crane maintenance (PM's), repairs, inspections, surveys, rebuilds, modernizations, and OEM replacement parts to all overhead crane and hoist makes and models.   Our service Rebuild center has the capabilities to rebuild your crane or hoisting components and restore them to factory specifications, we will even give you an ""as new"" warranty on the component. DESHAZO's Automation group has the engineering and manufacturing expertise to design, build, and install one work cell or a complete automation system in your facility to meet your needs.  If you want to improve the quality or productivity of a manual manufacturing/assembly process or lower the operation cost DESHAZO can provide you with an engineered solution to meet your requirements. Brands: DESHAZO, CM, BUDGIT, COFFING, YALE, SHAW-BOX, DETROIT, R&M, STAHL, ACCO, HARRINGTON, MAGNETEK, CONDUCTIX, DUCT-O-WIRE, ELECTROMOTIVE, GORBEL, SPANCO, DINGS, MONDEL, BUSHMAN, CALDWELL, REMTRON, HBC, INMOTION, JR MERRITT....AND MANY MORE! If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Material Handling, Electrical Applications, Computer Applications, Maintenance & Reliability",https://www.linkedin.com/company/danieli,,,1414
Dialight,http://www.dialight.com,Farmingdale,NJ,United States,"Dialight - LED Lighting for Industrial Applications  Dialight is a global leader in improving sustainability, safety and operational efficiency for its customers by providing high-efficiency, long-lasting LED lighting technology for industrial applications. With over a million fixtures installed worldwide, Dialight’s class-leading technology reduces energy use, cost and environmental impact for customers and is certified to a broad range of international standards. Further information on Dialight and its products is available at www.dialight.com. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Electrical Applications, Maintenance & Reliability, Safety & Health",https://www.linkedin.com/company/dialight,https://www.facebook.com/dialight,https://twitter.com/dialight,1840
Dixon Specialty Products,http://www.dixonvalve.com,Chestertown,MD,United States,"Hose or Swivel Joint issues?
 DIXON HAS THE RIGHT CONNECTIONS  Dixon, founded in 1916, is a premier manufacturer and supplier of hose couplings, valves, dry-disconnects, swivels, and other fluid transfer and control products. The company’s global reach includes a wide range of products for numerous industries including petroleum exploration, refining, transportation, chemical processing, food & beverage, steel, fire protection, construction, mining and manufacturing. Dixon’s strategic objective is to create solutions that make products safer, leak-free, longer lasting, and always available.   Brands: GSM Hose; Swivel Joints; King Safety Cable; King Safety Whip Sock; Boss-lock, EZ Boss-Lock, Vent-Lock Safety Cam & Groove; Holedall; FloMAX Fuel System; Eagle Bellows Seal Valves; Dix-Lock Couplings If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Cokemaking, Cold Sheet Rolling, Computer Applications, Continuous Casting, Cranes, DRI, Electric Steelmaking, Electrical Applications, Environmental, Hoses, Hot Sheet Rolling, Ironmaking, Ladle & Secondary Refining, Long Products, Maintenance & Reliability, Material Handling, Metallurgy - Processing, Product & Applications, Metallurgy - Steelmaking & Casting, Oxygen Steelmaking, Pipe & Tube, Plate Rolling, Project & Construction Management, Refractory Systems, Safety & Health, Specialy Alloy & Foundry",http://www.linkedin.com/company/dixon-valve,https://www.facebook.com/DixonValve/,https://twitter.com/dixonvalve,1402
DLZ Industrial,http://www.dlz.com,Burns Harbor,IN,United States,"DLZ expanding to a wholistic approach to serve the industry   DLZ is EXPANDING. For more than 60 years, DLZ focused on safely providing high-quality field and surveying services to help solve our clients’ problems. Now a wholistic project approach can be offered to steel’s capital and maintenance needs with electrical, mechanical and structural engineering support services that complement our existing  consulting services and our nationally recognized industrial surveying capabilities. With a staff of nearly 700 employees and hundreds of industrial projects completed each year, we have the knowledge and experience to meet our clients’ problems head-on and be a part of the solution.  Safety Focused, Team Focused, Service Focused. Problem Solved – Everybody Happy. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Cokemaking, Cold Sheet Rolling, Continuous Casting, Cranes, Electric Steelmaking, Electrical Applications, Energy & Utilities, Environmental, Galvanizing, Hot Sheet Rolling, Ironmaking, Ladle & Secondary Refining, Long Products, Maintenance & Reliability, Material Handling, Metallurgy - Steelmaking & Casting, Oxygen Steelmaking, Pipe & Tube, Plate Rolling, Project & Construction Management, Rolls, Specialy Alloy & Foundry, Tinplate Mill Products, Transportation & Logistics, Tube Mills",http://www.linkedin.com/company/dixon-valve,,,2237
"Dover Hydraulics, Inc.",http://www.doverhydraulics.com,Dover,OH,United States,"We repair cylinders (including AGC and oscillation), pumps, motors, and valves.  We also have full engineering, field service, and fabrication departments.  What type of hydraulic problems do you have? Critical cylinders? Large pumps? Hydraulic circuit issues? Make these worries go away. Stop and talk to us. We can help solve problems in your mill. Dover Hydraulics is a comprehensive resource for all of your hydraulic service needs.  Dover Hydraulics also serves North American steelmakers as A.L.B.A. authorized service center and distributor.  ALBA is a leader in the design and manufacture of torch cutting equipment for the metals industry. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Continuous Casting, Material Handling, Specialy Alloy & Foundry, Hot Sheet Rolling, Cold Sheet Rolling, Galvanizing, Plate Rolling, Long Products, Pipe & Tube, Metallurgy - Steelmaking & Casting, Metallurgy - Processing, Product & Applications, Project & Construction Management, Maintenance & Reliability, Lubrication & Hydraulics, Cokemaking",http://www.linkedin.com/company/dixon-valve,,,2107
DropsA USA Inc.,http://www.dropsausa.com,Sterling Heights,MI,United States,"DropsA was founded in 1946 and has become one of the world’s leading producers of oil and grease systems, re-circulating oil systems, and air/oil lubrication systems and components. The company offers an extensive range of solutions for the most diverse lubrication applications found in the steel industry, as well as machine tool, printing, pulp and paper, energy, mobile lube and other industry sectors. Continuous investment in R&D, along with advanced design and production technology, makes DropsA a leader in new product development. The DropsA booth will feature the latest SUMO grease lubrication pump and DM X-Over interchange dual-line modular feeders, as well as a sampling of other steel mill targeted pumps and devices for lubrication applications. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.",,http://www.linkedin.com/company/dixon-valve,,,2347
DynaIndustrial,http://www.dynaindustrial.com,Regina,SK,Canada,"Experience the DynaIndustrial difference at AIST 2021!  DynaIndustrial is a fully integrated engineering, machining & fabrication company, specializing in large custom design/build projects & industrial equipment repair. DynaIndustrial’s strong history & reputation of being a quality vendor is recognized in our ISO 9001:2015 registered status, ISNETWorld & BROWZ compliance. Our global footprint spans across the pipe, steel, mining, & energy industries. For over 40 years, DynaIndustrial has been successfully solving these industries most challenging problems with innovative engineered designs, turnkey solutions & quality products that increase safety, improve productivity & decrease maintenance downtime. DynaIndustrial is your single source provider of custom design solutions, in-house manufacturing & repair of equipment/components for steel & pipe.  If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Cold Sheet Rolling, Galvanizing, Hot Sheet Rolling, Long Products, Lubrication & Hydraulics, Maintenance & Reliability, Material Handling, Metallurgy - Steelmaking & Casting, Pipe & Tube, Plate Rolling, Project & Construction Management, Safety & Health, Tube Mills",http://www.linkedin.com/company/dixon-valve,,,V6
EATON,http://www.eaton.com,Cleveland,OH,United States,"Visit our booth to discuss your power management challenges. Eaton’s electrical business is a global leader with deep regional application expertise in power distribution and circuit protection; power quality, backup power and energy storage; control and automation; life safety and security; structural solutions; and harsh and hazardous environment solutions. Through end-to-end services, channel and an integrated digital platform & insights Eaton is powering what matters across industries and around the world, helping customers solve their most critical electrical power management challenges. Brands: Eaton, Crouse-Hinds series, B-Line series, Bussmann series, Cooper Power series If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Computer Applications, Electrical Applications, Energy & Utilities, Maintenance & Reliability, Project & Construction Management, Safety & Health",https://www.linkedin.com/company/eaton,,https://twitter.com/ETN_Electrical,2041
Eco Solution Distributing,https://www.ecosolutiondistributing.com,PITTSBURGH,PA,United States,"If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.",,https://www.linkedin.com/company/eaton,,,1540
E-Crane Worldwide,http://www.e-crane.com,Galion,OH,United States," E-Crane International USA is a wholly owned subsidiary of Indusign N.V., a Belgian engineering company. ECI-USA is the exclusive provider of marketing, sales, engineering, product support, and spare parts for the E-Crane product line in North and South America. The ""E"" in E-Crane stands for Equilibrium.  The design is based on a parallelogram style boom that provides a direct mechanical connection between the counterweight and the load, ensuring that the E-Crane remains balanced throughout its working range. The E-Crane series offers models with up to 50 tons duty cycle capacity and 150 ft/50m horizontal outreach.  Its modular design allows each E-Crane to be tailor-made to the client''s specific requirements. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Material Handling, Project & Construction Management, Maintenance & Reliability",https://www.linkedin.com/company/eaton,,,1316
Electrotherm (India) Limited,http://www.electrotherment.com,Ahmedabad,Gujarat,India,"The most preferred Steel Plant maker up to 1 MTPA  Electrotherm (India) was established in1983 for manufacturing Induction Melting Furnaces for steelmaking application  based on openness for ideas, eagerness to innovate, supplemented by in-house research & development and focus on customer-centric product and process development. Electrotherm kept designing and manufacturing larger capacities furnaces, suitable refining equipment like ladle furnaces and metal refining konverters, high speed continuous casting machine and various gadgets for improving productivity and quality of steel produced. It incorporated mechanized charging system and high-end plant automation with SCADA and DCS for reducing dependency on manpower, introduced proper fume capturing and de-dusting system for making steel plant through Induction Furnace route a cleaner affair.  Brands: Electrotherm, Bullet Caster, DiFOC, Electrotherm medium frequency power supplies with power ratings from 5 KW to 36,000 KW and frequency range of 100 Hz to 10,000 Hz have been work horses across the foundries and steel melting plants for their robust design, state of the art technology, efficiency and excellent reliability. These power supplies adopt compact design and yet are spacious enough to facilitate easier maintenance. The inverter SCRs are well protected by break-over diodes. The current fed inverter design results in higher inverter efficiency compared to other designs. Less number of power components and component types makes the system very simple. The fast electronic tripping devices protect the system in the event of short circuits. The efficient DC Reactor ensures safety of power components. Latest State-of-the-art Digital Inverter technology through Fibre Optic Communication (DiFOC) systems in power supply units up to 36,000 KW It is suitable for casting heat size as small as 5 ton and modules are available for casting section from 80 mm x 80 mm to 150 mm x 150 mm reduced operating cost and casters that are simple and safer to operate. Electrotherm Refining Furnace with ELdFOS process is used for the following: Coal Based Rotary Kiln for Direct Reduced Iron / Sponge Iron (100 TPD, 350 TPD, 500 TPD) ince DRI is produced by removing oxygen from iron ore, its structure is just like sponge with a network of connecting pores. These pores results in a large internal surface area which is about 10,000 times greater than the internal surface area of solid iron. Due to this, DRI is also known as Sponge Iron. Sponge Iron is gaining more popularity because of the following reasons… Main Components of the Rotary Kiln are… The products offered are Ferrous & Non-Ferrous Billet Heating, Extrusion, Rolling, Soldering, Brazing, Heat Treatment including case hardening, Tempering and Annealing, Shrink Fitting, Strip Heating, Tube & wire heating, Continuous Annealing, Stress relieving etc… Induction heating is a process which is used to bond, harden or soften metals or other conductive materials. For many modern manufacturing processes, induction heating offers an attractive combination of speed, consistency and control.  Customer Benefit Applications  Forging and forming process consist of a part that has been previously heated to a temperature at which its resistance to deformation is weak. The forging temperatures of the most commonly used industrial materials are:  After heating up the material, the forming operation is done on different types of machines like mechanical presses, hydraulic presses, hammer, ring rolling etc. Materials used for forging are in shape of rounded bar, square billet. The process of forging and forming is a common process in the manufacture of many industrial sectors such as automobile, railway, aerospace, and forging. Advantages Equipment Rating  Extrusion is a process used to create objects of a fixed cross-sectional profile. A material is pushed or drawn through a die of the desired cross-section. The extrusion process can be done with the material hot or cold. Extrusion may be continuous or semi-continuous. Materials required for this process is mention below Advantage Equipment Rating  Brazing is a process in which two or more materials are joined together by a filler metal that has a lower melting point than the base materials using induction heating. In brazing application joining of two pieces is done by process of using heat and a filler material that melts at a temperature above 427 ºC (800 ºF) and below the melting point of the parts to be brazen. The filler metal used in brazing varies depending on the parts being joined. The most preferred alloys are phosphor copper, silver, nickel and cobalt, aluminum, silicon, copper, copper-zinc and magnesium. In this process same material or different materials is permanently bond with high strength, simplify mechanical operation and adopt simple production techniques, always compatible with the demands of mass production among others. Advantages Application Equipment Rating  See Video1  Video2 Eletrotherm’s In-Line Induction heating system for hot rolling/ reheating of bars, billets, slabs, plates, and blooms. Our heater provides temperature control and uniform heating from surface to core and head to tail of the product. Our heater is highly efficient and compact; available in frequencies between 50 Hz to 6000 Hz. and power between 500 kW to 10000 kW. Hot rolling is used to form thinner pieces of metal by using heat.  If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Electric Steelmaking, Ironmaking, Ladle & Secondary Refining, Long Products, Metallurgy - Processing, Product & Applications, Metallurgy - Steelmaking & Casting, Rolls, Transformers",https://www.linkedin.com/showcase/electrotherm-engineering-and-technologies/,https://www.facebook.com/ElectrothermEngineeringAndTechnologies/,https://twitter.com/Electrotherm_ET,923
"ElectroWire, A GCG Company",http://www.cobrawire.com,Huntingdon Valley,PA,United States,"Come visit ElectroWire at booth #1141 to learn more today!  ElectroWire, A GCG Company Your One Source for Industrial Wires and Cables 600 - 1000 KV POWER CABLE COPPER & ALUMINUM: THHN; XHHW-2; RHW-2/ RHH/ XLP-USE, URD THERMOCOUPLE: Calibration E, J, K, T, S, R; Extension Grades 90° C to 1565° C MEDIUM VOLTAGE CABLE COPPER & ALUMINUM: 5KV-35KV; EPR/PVC, EPR/CPE, XLP/PVC, BARE ARIAL INTERLOCKED ARMOR: Alum & Galv; 600v-35KV, Tech 90, CLX, CCW, AIA PORTABLE POWER & CONTROL: SOOW-A/SOOW; Type W, DLO, SHD-GC G-GC, Welding, REELING & FESTOON HIGH TEMPERATURE: 150° C to 1850° C, SRML/SRK 200° C; TGGT, MGT, Soaking Pit; EPDM Motor Lead 150° C; FEP, PFA Multi Conductor 200° C; Mineral Insulated (MI); Shielded & Armored VARIABLE FREQUENCY DRIVE 600-1000-2000V: VFD, VFD TC-ER, FLEXIBLE VFD CONTROL & INSTRUMENTATION: TC-ER THHN/PVC; XHHW/PVC (XLP); FREP, ERP/CPE, XLP/CPE; 20/10 XLPO, PLTC, LSZH FACTORY AUTOMATION CABLES: FLEXIBLE, CONTINUOUS FLEX, POWER TRACK  CALL US AT 770-722-5768 FOR YOUR WIRE & CABLE NEEDS. Brands: Exane, Southwire, Prysmian, Belden, Elettrotek-Kabel, Raychem/TE Connectivity. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Cokemaking, Cold Sheet Rolling, Continuous Casting, Cranes, DRI, Electric Steelmaking, Electrical Applications, Energy & Utilities, Galvanizing, Hot Sheet Rolling, Ironmaking, Ladle & Secondary Refining, Long Products, Maintenance & Reliability, Material Handling, Oxygen Steelmaking, Pipe & Tube, Plate Rolling, Project & Construction Management, Refractory Systems, Specialy Alloy & Foundry, Tinplate Mill Products, Tube Mills",https://www.linkedin.com/showcase/electrotherm-engineering-and-technologies/,,,1141
eMeasurematics,http://www.emeasurematics.com,Dover,DE,United States,"eMeasurematics:
www.emeasurematics.com
eMeasurematics provides automatic material tracking and warehouse/yard management solutions for handling slabs, coils, sheets/plates and long products.  Our advanced WMS software (Warehouse Management System) along with state-of-the-art Crane+Vehicle Positioning & Navigation system ensures 100% tracking of inventory without any manual inputs.  Key benefits include elimination/reduction of manual intervention for maintaining inventory and locating material, improved efficiency for cranes and vehicles, elimination of last/misplaces inventory, 100% on-time delivery, elimination of production delays and improvement or yard operations.  Our engineering team will be available at our booth to discuss your needs and present a possible solution. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.",,https://www.linkedin.com/showcase/electrotherm-engineering-and-technologies/,,,1034
"EMG USA, Inc.",http://www.emg-automation.com,Twinsburg,OH,United States,"EMG USA Inc., Twinsburg, Ohio, is the North American subsidiary of EMG Automation GmbH, Wenden, Germany. EMG personnel will be available to discuss any needs you may have in the area of strip guiding systems and quality assurance systems e.g. determination of oil film thickness, material properties or surface roughness. As a leader in technology advancements in both of these areas, we will be glad to discuss any pertinent applications with you. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Electrical Applications, Computer Applications, Maintenance & Reliability",https://www.linkedin.com/showcase/electrotherm-engineering-and-technologies/,,,2108
EMPCO,http://www.empco.com,Whitby,ON,Canada,"We invented the SPLIT-SHELL !
Call us what is now NEW !  As a major supplier of Electric Arc Furnaces and ancillary electrometallurgical equipment to world steelmakers, we pride ourselves on recognizing viable concepts and making them reality: SIOS™ Simplified Iron Ore to Steel process used directly in EAF with Pellet Technology; AUTO-REACT™ Electrode Arms with automatic impedance control; UNIGATE™ ecology-improving and energy-saving Slag Door Sealing; SCORPIO™ Temperature and Sampling device through Wall Panel; SSR™ Self-Supporting Roof -- No ""spider"" required; UNILANCE™ 40 MW Burner/Lance; CuRe™ (Copper) / FeRe™ (carbon steel) energy-saving, long-lasting Panel; OMNIVALVE™ Automatic Panel Temperature Control increasing panel life; and INCONEL Ducts that last five times longer than conventional ducts.  We believe you could not choose a better supplier or more reliable partner for your facilities than EMPCO. Brands: SIOS
AUTO-REACT
UNIGATE
SCORPIO
SSR - Self-Supporting Roof
UNILANCE
CuRe
OMNIVALVE If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Electric Steelmaking, Hot Sheet Rolling, Ironmaking, Long Products, Maintenance & Reliability, Oxygen Steelmaking, Pipe & Tube, Plate Rolling, Project & Construction Management, Specialy Alloy & Foundry",https://www.linkedin.com/showcase/electrotherm-engineering-and-technologies/,,,2245
